-9.44955,-7.28296,12
-69.0683,-53.4084,88
-256.585,-199.068,328
-530.18,-412.701,680
-888.982,-694.309,1144
-1034.71,-810.836,1336
-1120.79,-881.238,1452
-1206.26,-951.64,1568
-1251.26,-990.482,1632
-1295.92,-1029.32,1696
-1325.03,-1056.03,1740
-1375.16,-1099.73,1812
-1376.5,-1104.58,1820
-1383.84,-1114.29,1836
-1385.09,-1119.15,1844
-1395.27,-1131.29,1864
-1390.43,-1131.29,1864
-1385.6,-1131.29,1864
-1380.76,-1131.29,1864
-1375.92,-1131.29,1864
-1379.91,-1138.57,1876
-1377.97,-1141,1880
-1376.02,-1143.42,1884
-1382.77,-1153.14,1900
-1380.74,-1155.56,1904
-1378.69,-1157.99,1908
-1382.38,-1165.27,1920
-1391.75,-1177.41,1940
-1392.43,-1182.27,1948
-1393.07,-1187.12,1956
-1388,-1187.12,1956
-1385.75,-1189.55,1960
-1383.48,-1191.98,1964
-1381.19,-1194.41,1968
-1378.88,-1196.83,1972
-1376.55,-1199.26,1976
-1273.99,-1199.26,1976
-1268.86,-1199.26,1976
-1263.73,-1199.26,1976
-1258.61,-1199.26,1976
-1253.48,-1199.26,1976
-1245.82,-1196.83,1972
-1240.71,-1196.83,1972
-1238.09,-1199.26,1976
-1232.97,-1199.26,1976
-1225.35,-1196.83,1972
-1220.23,-1196.83,1972
-1215.12,-1196.83,1972
-1212.45,-1199.26,1976
-1207.33,-1199.26,1976
-679.149,-1199.26,1976
-668.894,-1199.26,1976
-453.52,-1199.26,1976
-448.392,-1199.26,1976
-442.367,-1196.83,1972
-435.476,-1191.98,1964
-430.379,-1191.98,1964
-424.416,-1189.55,1960
-417.618,-1184.69,1952
-410.016,-1177.41,1940
-404.982,-1177.41,1940
-397.473,-1170.13,1928
-392.47,-1170.13,1928
-387.467,-1170.13,1928
-382.463,-1170.13,1928
-379.809,-1177.41,1940
-374.775,-1177.41,1940
-369.74,-1177.41,1940
-364.706,-1177.41,1940
-361.154,-1182.27,1948
-358.293,-1189.55,1960
-353.927,-1191.98,1964
-348.83,-1191.98,1964
-343.734,-1191.98,1964
-339.327,-1194.41,1968
-334.899,-1196.83,1972
-329.781,-1196.83,1972
-324.664,-1196.83,1972
-320.194,-1199.26,1976
-315.066,-1199.26,1976
-263.787,-1199.26,1976
-258.659,-1199.26,1976
-253.018,-1196.83,1972
-247.9,-1196.83,1972
-242.29,-1194.41,1968
-237.183,-1194.41,1968
-232.076,-1194.41,1968
-226.507,-1191.98,1964
-222.313,-1196.83,1972
-217.636,-1199.26,1976
-207.38,-1199.26,1976
-201.842,-1196.83,1972
-196.725,-1196.83,1972
-191.607,-1196.83,1972
-186.111,-1194.41,1968
-180.268,-1189.55,1960
-175.54,-1191.98,1964
-169.401,-1184.69,1952
-164.336,-1184.69,1952
-158.944,-1182.27,1948
-153.888,-1182.27,1948
-149.139,-1184.69,1952
-142.892,-1174.98,1936
-137.583,-1172.56,1932
-131.746,-1165.27,1920
-125.179,-1150.71,1896
-118.736,-1136.14,1872
-113.148,-1128.86,1860
-106.691,-1111.86,1832
-101.269,-1104.58,1820
-95.9091,-1097.3,1808
-91.2172,-1097.3,1808
-86.5252,-1097.3,1808
-81.8333,-1097.3,1808
-77.1413,-1097.3,1808
-72.4494,-1097.3,1808
-67.7574,-1097.3,1808
-62.5074,-1087.59,1792
